ticker,date,time,title,sentiment_value
APLE,2021-12-09,07:38PM,"Nationwide Variable Insurance Trust Buys Ollie's Bargain Outlet Holdings Inc, Grocery Outlet ...",neutral
APLE,2021-12-02,12:00PM,Apple Hospitality REIT (APLE) Moves to Strong Buy: Rationale Behind the Upgrade,neutral
APLE,2021-11-18,04:15PM,Apple Hospitality REIT Acquires Portfolio of Three Hotels,neutral
APLE,2021-11-04,04:15PM,Apple Hospitality REIT Reports Results of Operations for Third Quarter 2021,neutral
APLE,2021-10-13,06:48AM,Investing in Apple Hospitality REIT (NYSE:APLE) a year ago would have delivered you a 57% gain,positive
APLE,2021-10-07,08:46AM,"Apple Hospitality (APLE): Strong Industry, Solid Earnings Estimate Revisions",positive
APLE,2021-09-16,04:15PM,Apple Hospitality REIT Announces Dates for Third Quarter 2021 Earnings Release and Conference Call,neutral
APLE,2021-09-15,09:00AM,Apple Hospitality REIT Announces Distribution for Third Quarter of 2021,neutral
APLE,2021-09-13,04:15PM,"Apple Hospitality REIT Acquires the Aloft Portland, Maine",neutral
APLE,2021-09-02,04:15PM,"Apple Hospitality REIT Acquires Hyatt Place in Greenville, South Carolina",neutral
APLE,2021-08-23,04:15PM,"Apple Hospitality REIT Acquires AC Hotel by Marriott in Portland, Maine",neutral
APLE,2021-08-14,03:07AM,"Executive Chairman Glade Knight Just Bought A Handful Of Shares In Apple Hospitality REIT, Inc. (NYSE:APLE)",neutral
APLE,2021-08-12,01:50AM,"What Kind Of Shareholders Hold The Majority In Apple Hospitality REIT, Inc.'s (NYSE:APLE) Shares?",neutral
APLE,2021-08-05,04:15PM,Apple Hospitality REIT Reports Results of Operations for Second Quarter 2021,neutral
APLE,2021-06-16,09:00AM,Apple Hospitality REIT Announces Distribution for Second Quarter of 2021,neutral
APLE,2021-06-15,09:00AM,Apple Hospitality REIT Announces Dates for Second Quarter 2021 Earnings Release and Conference Call,neutral
APLE,2021-06-13,03:17AM,"How Many Apple Hospitality REIT, Inc. (NYSE:APLE) Shares Did Insiders Buy, In The Last Year?",neutral
APLE,2021-05-14,04:15PM,Apple Hospitality REIT Recognizes Hotel Associates with 2020 Apple Awards,neutral
APLE,2021-05-07,07:45AM,"Apple Hospitality REIT, Inc. to Host Earnings Call",neutral
APLE,2021-05-06,04:15PM,Apple Hospitality REIT Reports Results of Operations for First Quarter 2021,neutral
APLE,2021-04-14,01:31AM,Investors Who Bought Apple Hospitality REIT (NYSE:APLE) Shares A Year Ago Are Now Up 71%,positive
APLE,2021-03-23,04:15PM,Apple Hospitality REIT Announces Dates for First Quarter 2021 Earnings Release and Conference Call,neutral
